"Name","Genes (tot)","Stat (dist.dir.up)","p (dist.dir.up)","p adj (dist.dir.up)","Stat (dist.dir.dn)","p (dist.dir.dn)","p adj (dist.dir.dn)","Stat (non-dir.)","p (non-dir.)","p adj (non-dir.)","Genes (up)","Stat (mix.dir.up)","p (mix.dir.up)","p adj (mix.dir.up)","Genes (down)","Stat (mix.dir.dn)","p (mix.dir.dn)","p adj (mix.dir.dn)"
"mitochondrial citrate transmembrane transport [GO:0006843]",3,0.79458,0.37396,1,0.20542,0.62664,0.93996,0.25582,0.9508,0.9999,1,0.76746,0.953,1,2,3.3355e-32,0.15938,0.52369
"mitochondrial genome maintenance [GO:0000002]",6,0.9744,0.70403,1,0.025601,0.29607,0.71047,0.051201,0.64024,0.95279,0,NA,NA,NA,6,0.051201,0.75192,1
"arginine biosynthetic process [GO:0006526]",6,1,1,1,1e-100,0.0042996,0.050789,1e-100,0.0024998,0.024866,0,NA,NA,NA,6,1e-100,0.0017998,0.01743
"arginine biosynthetic process via ornithine [GO:0042450]",3,1,1,1,1e-100,0.064294,0.2695,1e-100,0.046895,0.15281,0,NA,NA,NA,3,1e-100,0.036996,0.13892
"proline catabolic process to glutamate [GO:0010133]",3,0.42124,0.048295,0.32432,0.57876,0.9518,1,0.17581,0.90321,0.9999,2,0.26371,0.77892,1,1,1e-100,0.33897,0.8316
"fatty acid beta-oxidation using acyl-CoA oxidase [GO:0033540]",18,1,1,1,3.4715e-08,9.999e-05,0.0023623,6.943e-08,0.00019998,0.0037796,0,NA,NA,NA,18,6.943e-08,9.999e-05,0.0018398
"lipid homeostasis [GO:0055088]",18,1,1,1,3.4715e-08,9.999e-05,0.0023623,6.943e-08,0.00019998,0.0037796,0,NA,NA,NA,18,6.943e-08,9.999e-05,0.0018398
"phosphate ion transmembrane transport [GO:0035435]",4,0.74673,0.21968,0.75489,0.25327,0.78042,1,0.0065477,0.41246,0.81729,1,1e-100,0.48305,0.92395,3,0.0087303,0.55584,0.97913
"phosphatidylinositol-mediated signaling [GO:0048015]",4,0.9756,0.59664,1,0.024399,0.40346,0.7781,0.048798,0.68443,0.98145,0,NA,NA,NA,4,0.048798,0.76202,1
"ergosterol metabolic process [GO:0008204]",11,0.90176,0.65173,1,0.09824,0.34837,0.74042,0.014662,0.27157,0.67536,1,1e-100,0.48305,0.92395,10,0.016128,0.39956,0.86883
