"Name","Genes (tot)","Stat (dist.dir.up)","p (dist.dir.up)","p adj (dist.dir.up)","Stat (dist.dir.dn)","p (dist.dir.dn)","p adj (dist.dir.dn)","Stat (non-dir.)","p (non-dir.)","p adj (non-dir.)","Genes (up)","Stat (mix.dir.up)","p (mix.dir.up)","p adj (mix.dir.up)","Genes (down)","Stat (mix.dir.dn)","p (mix.dir.dn)","p adj (mix.dir.dn)"
"ATPase-coupled monoatomic cation transmembrane transporter activity [GO:0019829]",8,0.85344,0.9999,1,0.14656,0.00019998,0.0041516,0.29311,0.0026997,0.073745,0,NA,NA,NA,8,0.29311,0.0048995,0.13216
"monoatomic cation transport [GO:0006812]",6,0.70364,0.91521,1,0.29636,0.084892,0.28986,0.59273,0.69893,1,0,NA,NA,NA,6,0.59273,0.76572,1
"monoatomic cation transmembrane transport [GO:0098655]",9,0.77947,0.9961,1,0.22053,0.0039996,0.03269,0.44107,0.13339,0.61949,0,NA,NA,NA,9,0.44107,0.20448,0.81753
"inorganic cation transmembrane transport [GO:0098662]",6,0.87132,0.9998,1,0.12868,0.00029997,0.0051044,0.25735,0.0017998,0.060265,0,NA,NA,NA,6,0.25735,0.0046995,0.13019
"glycerophospholipid biosynthetic process [GO:0046474]",5,0.79962,0.9868,1,0.20038,0.013299,0.074215,0.40075,0.12599,0.59762,0,NA,NA,NA,5,0.40075,0.17108,0.75851
"zinc ion binding [GO:0008270]",125,0.52324,0.066593,0.36002,0.47676,0.93351,1,0.52552,0.28937,0.92708,56,0.52232,0.061694,0.76665,69,0.52811,0.67403,1
"vacuole fusion, non-autophagic [GO:0042144]",9,0.73939,0.9853,1,0.26061,0.014799,0.080004,0.46695,0.21128,0.78304,1,0.75579,0.70363,0.9994,8,0.43085,0.18948,0.79598
"DNA binding [GO:0003677]",172,0.53376,0.10109,0.48355,0.46624,0.89901,1,0.60976,1,1,77,0.63956,0.9928,0.9994,95,0.5856,0.997,1
"chromatin binding [GO:0003682]",49,0.59162,0.81512,1,0.40838,0.18498,0.49108,0.64303,0.9978,1,16,0.73398,0.9946,0.9994,33,0.59893,0.9675,1
"DNA replication origin binding [GO:0003688]",15,0.56475,0.53675,1,0.43525,0.46335,0.83355,0.57247,0.69223,1,5,0.55295,0.42936,0.9994,10,0.58222,0.79372,1
"single-stranded DNA binding [GO:0003697]",33,0.48673,0.054995,0.32251,0.51327,0.94511,1,0.63714,0.9861,1,17,0.62206,0.78642,0.9994,16,0.65316,0.9827,1
"helicase activity [GO:0004386]",65,0.57109,0.65813,1,0.42891,0.34197,0.68131,0.63211,0.998,1,25,0.70659,0.9973,0.9994,40,0.58557,0.9574,1
"four-way junction helicase activity [GO:0009378]",16,0.60941,0.78092,1,0.39059,0.21918,0.5404,0.62807,0.91481,1,4,0.69376,0.83142,0.9994,12,0.60617,0.88881,1
"single-stranded DNA helicase activity [GO:0017116]",8,0.55407,0.47725,1,0.44593,0.52285,0.90453,0.6577,0.90081,1,3,0.68779,0.78312,0.9994,5,0.63965,0.84842,1
"double-stranded DNA helicase activity [GO:0036121]",15,0.6265,0.84792,1,0.3735,0.15218,0.43517,0.62287,0.89581,1,3,0.68965,0.78642,0.9994,12,0.60617,0.88881,1
"3'-5' DNA helicase activity [GO:0043138]",9,0.58738,0.62944,1,0.41262,0.37066,0.72185,0.69913,0.9676,1,3,0.81085,0.94891,0.9994,6,0.64328,0.88261,1
"forked DNA-dependent helicase activity [GO:0061749]",15,0.6265,0.84792,1,0.3735,0.15218,0.43517,0.62287,0.89581,1,3,0.68965,0.78642,0.9994,12,0.60617,0.88881,1
"single-stranded 3'-5' DNA helicase activity [GO:1990518]",15,0.6265,0.84792,1,0.3735,0.15218,0.43517,0.62287,0.89581,1,3,0.68965,0.78642,0.9994,12,0.60617,0.88881,1
"double-strand break repair via break-induced replication [GO:0000727]",8,0.61549,0.73213,1,0.38451,0.26797,0.60733,0.68787,0.94771,1,2,0.83769,0.92661,0.9994,6,0.63793,0.87081,1
"DNA replication [GO:0006260]",46,0.54905,0.41046,1,0.45095,0.58964,0.95778,0.64907,0.9985,1,19,0.69395,0.9841,0.9994,27,0.61749,0.9805,1
"pre-replicative complex assembly involved in nuclear cell cycle DNA replication [GO:0006267]",6,0.63925,0.77472,1,0.36075,0.22538,0.54634,0.67791,0.90441,1,1,0.8692,0.84522,0.9994,5,0.63965,0.84842,1
"DNA unwinding involved in DNA replication [GO:0006268]",8,0.60923,0.70753,1,0.39077,0.29257,0.64407,0.67536,0.93251,1,2,0.78764,0.87601,0.9994,6,0.63793,0.87081,1
"DNA replication initiation [GO:0006270]",15,0.5756,0.59964,1,0.4244,0.40046,0.75629,0.62517,0.90201,1,5,0.66455,0.79272,0.9994,10,0.60548,0.86301,1
"premeiotic DNA replication [GO:0006279]",9,0.59941,0.68563,1,0.40059,0.31447,0.66264,0.7328,0.9855,1,2,0.84613,0.93421,0.9994,7,0.70042,0.9683,1
"transcription elongation by RNA polymerase II [GO:0006368]",22,0.53176,0.31227,0.92875,0.46824,0.68783,1,0.60724,0.89491,1,8,0.54728,0.39306,0.9994,14,0.6415,0.9673,1
"heterochromatin formation [GO:0031507]",11,0.59097,0.65883,1,0.40903,0.34127,0.68131,0.63166,0.88601,1,4,0.7437,0.91101,0.9994,7,0.56763,0.70513,1
"subtelomeric heterochromatin formation [GO:0031509]",11,0.58629,0.63604,1,0.41371,0.36406,0.71436,0.52787,0.45925,1,3,0.45083,0.21798,0.9994,8,0.55676,0.67863,1
"DNA duplex unwinding [GO:0032508]",25,0.60321,0.79852,1,0.39679,0.20158,0.52441,0.63473,0.9728,1,6,0.66906,0.82242,0.9994,19,0.62389,0.9678,1
"chromosome, telomeric region [GO:0000781]",18,0.56932,0.57234,1,0.43068,0.42776,0.78445,0.57359,0.72463,1,5,0.48202,0.21628,0.9994,13,0.60881,0.90271,1
"nuclear replication fork [GO:0043596]",12,0.58586,0.64644,1,0.41414,0.35366,0.69925,0.62164,0.86691,1,3,0.58672,0.54285,0.9994,9,0.63328,0.91491,1
"nuclear pre-replicative complex [GO:0005656]",8,0.61748,0.73893,1,0.38252,0.26117,0.60111,0.72065,0.9777,1,2,0.9112,0.977,0.9994,6,0.65713,0.90661,1
"DNA replication preinitiation complex [GO:0031261]",8,0.64357,0.82622,1,0.35643,0.17388,0.47249,0.68016,0.93921,1,1,0.8692,0.84522,0.9994,7,0.65316,0.91861,1
"replication fork protection complex [GO:0031298]",11,0.68757,0.956,1,0.31243,0.044096,0.17949,0.60108,0.79282,1,1,0.8692,0.84522,0.9994,10,0.57427,0.76542,1
"MCM complex [GO:0042555]",6,0.63925,0.77472,1,0.36075,0.22538,0.54634,0.67791,0.90441,1,1,0.8692,0.84522,0.9994,5,0.63965,0.84842,1
"CMG complex [GO:0071162]",7,0.64583,0.80822,1,0.35417,0.19188,0.50423,0.67097,0.91211,1,1,0.8692,0.84522,0.9994,6,0.63793,0.87081,1
"response to oxidative stress [GO:0006979]",11,0.49406,0.21188,0.75168,0.50594,0.78822,1,0.61751,0.84512,1,5,0.5662,0.47485,0.9994,6,0.66026,0.91211,1
"mitochondrial inner membrane [GO:0005743]",174,0.51666,0.016298,0.13867,0.48334,0.9838,1,0.58775,0.9964,1,84,0.60755,0.90871,0.9994,90,0.56928,0.9779,1
"respiratory chain complex I [GO:0045271]",25,0.39448,0.00089991,0.015313,0.60552,0.9992,1,0.60897,0.91881,1,15,0.49827,0.12699,0.9994,10,0.77501,0.999,1
"histone binding [GO:0042393]",30,0.55431,0.47135,1,0.44569,0.52875,0.90705,0.5847,0.83732,1,12,0.61664,0.72773,0.9994,18,0.56341,0.78892,1
"chromatin organization [GO:0006325]",55,0.50014,0.050895,0.30361,0.49986,0.94921,1,0.66142,0.9998,1,27,0.65543,0.9616,0.9994,28,0.6672,0.9991,1
"nucleosome assembly [GO:0006334]",10,0.49611,0.22808,0.78949,0.50389,0.77202,1,0.49235,0.29577,0.93316,5,0.48457,0.22288,0.9994,5,0.50013,0.45445,1
"DNA replication-dependent chromatin assembly [GO:0006335]",5,0.48341,0.26357,0.8713,0.51659,0.73653,1,0.62602,0.76622,1,2,0.49106,0.33547,0.9994,3,0.716,0.90161,1
"regulation of gene expression [GO:0010468]",11,0.4567,0.10329,0.48956,0.5433,0.89681,1,0.53329,0.48615,1,6,0.4928,0.21828,0.9994,5,0.58188,0.71763,1
"silent mating-type cassette heterochromatin formation [GO:0030466]",7,0.59344,0.63494,1,0.40656,0.36516,0.71517,0.57446,0.64624,1,1,0.16467,0.031197,0.52586,6,0.64276,0.88171,1
"positive regulation of transcription elongation by RNA polymerase II [GO:0032968]",14,0.52899,0.33867,0.96766,0.47101,0.66143,1,0.57705,0.72083,1,7,0.63504,0.73653,0.9994,7,0.51906,0.52625,1
"cellular response to stress [GO:0033554]",6,0.68647,0.88501,1,0.31353,0.11509,0.35449,0.34862,0.034597,0.3463,1,0.16467,0.031197,0.52586,5,0.38541,0.14039,0.68974
"protein modification process [GO:0036211]",7,0.44834,0.13379,0.5719,0.55166,0.86631,1,0.58253,0.67633,1,5,0.63545,0.70373,0.9994,2,0.45023,0.37636,1
"chromatin [GO:0000785]",73,0.58926,0.85101,1,0.41074,0.14909,0.42986,0.61388,0.995,1,21,0.63917,0.88341,0.9994,52,0.60366,0.9937,1
"unfolded protein binding [GO:0051082]",44,0.4261,0.00059994,0.01112,0.5739,0.9995,1,0.55184,0.64014,1,28,0.53174,0.19358,0.9994,16,0.58701,0.86331,1
"NADPH dehydrogenase activity [GO:0003959]",6,0.58628,0.60744,1,0.41372,0.39266,0.75019,0.37137,0.055894,0.38423,3,0.54392,0.43496,0.9994,3,0.19882,0.011999,0.20162
"FMN binding [GO:0010181]",26,0.56858,0.57104,1,0.43142,0.42906,0.78445,0.44581,0.032497,0.33835,13,0.58297,0.56994,0.9994,13,0.30864,0.0017998,0.068327
"aspartic-type endopeptidase activity [GO:0004190]",7,0.56443,0.52195,1,0.43557,0.47815,0.85132,0.52863,0.46285,1,3,0.60042,0.57604,0.9994,4,0.47479,0.39116,1
"proteolysis [GO:0006508]",81,0.62582,0.9929,1,0.37418,0.0071993,0.049489,0.55198,0.69513,1,23,0.65419,0.94271,0.9994,58,0.51145,0.46165,1
"sister chromatid cohesion [GO:0007062]",5,0.53749,0.42516,1,0.46251,0.57494,0.94578,0.64211,0.80272,1,3,0.76425,0.90591,0.9994,2,0.45891,0.39266,1
"mitotic sister chromatid cohesion [GO:0007064]",8,0.69838,0.94151,1,0.30162,0.058594,0.22154,0.58848,0.70753,1,1,0.94093,0.92501,0.9994,7,0.53813,0.60034,1
"phosphatidylinositol-3-phosphate binding [GO:0032266]",16,0.64814,0.92081,1,0.35186,0.079292,0.27806,0.66125,0.9686,1,4,0.91508,0.9994,0.9994,12,0.57664,0.79792,1
"bounding membrane of organelle [GO:0098588]",10,0.67095,0.91921,1,0.32905,0.080892,0.28176,0.61283,0.82102,1,1,0.77366,0.72843,0.9994,9,0.59496,0.82402,1
"hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]",20,0.69848,0.9941,1,0.30152,0.0059994,0.045126,0.49812,0.25127,0.86941,4,0.7377,0.90331,0.9994,16,0.43823,0.11939,0.66701
"hydrolase activity, acting on glycosyl bonds [GO:0016798]",28,0.62924,0.92831,1,0.37076,0.071793,0.25875,0.57057,0.74443,1,9,0.73409,0.9752,0.9994,19,0.49312,0.36326,1
"polysaccharide catabolic process [GO:0000272]",7,0.57654,0.57244,1,0.42346,0.42766,0.78445,0.537,0.49465,1,2,0.45763,0.27837,0.9994,5,0.56875,0.67833,1
"carbohydrate metabolic process [GO:0005975]",40,0.61037,0.90351,1,0.38963,0.09659,0.31661,0.49336,0.13739,0.631,13,0.56017,0.44036,0.9994,27,0.46119,0.14199,0.68974
"extracellular region [GO:0005576]",25,0.5073,0.16348,0.6552,0.4927,0.83662,1,0.60188,0.89481,1,12,0.60049,0.65283,0.9994,13,0.60316,0.88851,1
"intracellular protein transport [GO:0006886]",88,0.72663,1,1,0.27337,9.999e-05,0.0024712,0.49432,0.057694,0.39142,9,0.74369,0.9805,0.9994,79,0.46591,0.045195,0.375
"retrograde transport, endosome to Golgi [GO:0042147]",26,0.74651,0.9999,1,0.25349,0.00019998,0.0041516,0.46768,0.080992,0.46447,2,0.74461,0.82262,0.9994,24,0.4446,0.09949,0.59289
"Golgi membrane [GO:0000139]",77,0.69116,1,1,0.30884,9.999e-05,0.0024712,0.51496,0.21728,0.79977,12,0.67044,0.91261,0.9994,65,0.48626,0.19348,0.80291
"GTPase activator activity [GO:0005096]",38,0.68931,0.9997,1,0.31069,0.00039996,0.0064869,0.4449,0.014299,0.20758,9,0.62742,0.73543,0.9994,29,0.38826,0.0035996,0.11491
"cytoskeleton organization [GO:0007010]",22,0.78837,1,1,0.21163,9.999e-05,0.0024712,0.38587,0.0017998,0.060265,2,0.79433,0.88391,0.9994,20,0.34503,0.0010999,0.051245
"signal transduction [GO:0007165]",44,0.72634,1,1,0.27366,9.999e-05,0.0024712,0.4713,0.041796,0.36811,7,0.76108,0.9785,0.9994,37,0.41648,0.010399,0.19599
"cellular bud [GO:0005933]",8,0.82256,0.9991,1,0.17744,0.0009999,0.010379,0.30841,0.0052995,0.10786,1,0.81411,0.78852,0.9994,7,0.23617,0.0011999,0.053473
