"Name","Genes (tot)","Stat (dist.dir.up)","p (dist.dir.up)","p adj (dist.dir.up)","Stat (dist.dir.dn)","p (dist.dir.dn)","p adj (dist.dir.dn)","Stat (non-dir.)","p (non-dir.)","p adj (non-dir.)","Genes (up)","Stat (mix.dir.up)","p (mix.dir.up)","p adj (mix.dir.up)","Genes (down)","Stat (mix.dir.dn)","p (mix.dir.dn)","p adj (mix.dir.dn)"
"phosphatidic acid biosynthetic process [GO:0006654]",3,0.93763,0.84532,1,0.062366,0.15478,0.40631,0.12473,0.46945,0.92016,0,NA,NA,NA,3,0.12473,0.51735,1
"cardiolipin biosynthetic process [GO:0032049]",3,1,1,1,7.4015e-17,0.016798,0.08355,2.1552e-16,0.059994,0.26369,0,NA,NA,NA,3,2.1552e-16,0.063694,0.32393
"carnitine metabolic process [GO:0009437]",3,0.15084,0.025497,0.20952,0.84916,0.9746,1,0.30169,0.77392,1,3,0.30169,0.70833,0.9989,0,NA,NA,NA
"hydrogen peroxide catabolic process [GO:0042744]",5,0.16424,0.0048995,0.084182,0.83576,0.9952,1,0.32848,0.87931,1,5,0.32848,0.80252,0.9989,0,NA,NA,NA
"phospholipid biosynthetic process [GO:0008654]",4,0.71682,0.56954,1,0.28318,0.43056,0.82566,0.12073,0.41066,0.85291,1,0.10872,0.65003,0.9989,3,0.12473,0.51665,1
"ceramide biosynthetic process [GO:0046513]",10,0.59451,0.30807,0.93201,0.40549,0.69203,1,0.54038,0.9997,1,4,0.66175,0.9941,0.9989,6,0.45947,0.991,1
"plasma membrane organization [GO:0007009]",5,0.81468,0.82242,1,0.18532,0.17768,0.43613,0.37063,0.92511,1,0,NA,NA,NA,5,0.37063,0.94601,1
"chitin biosynthetic process [GO:0006031]",3,1,1,1,1e-100,0.015898,0.081211,1e-100,0.026597,0.12261,0,NA,NA,NA,3,1e-100,0.043396,0.24216
"phosphatidylethanolamine biosynthetic process [GO:0006646]",5,0.63868,0.45775,1,0.36132,0.54235,0.89915,0.36614,0.92091,1,1,0.10872,0.65003,0.9989,4,0.43049,0.9595,1
"chorismate biosynthetic process [GO:0009423]",6,1,1,1,1e-100,0.00049995,0.011811,1e-100,0.00039996,0.0083992,0,NA,NA,NA,6,1e-100,0.0018998,0.042271
"propionate catabolic process, 2-methylcitrate cycle [GO:0019629]",3,0.55513,0.30767,0.93201,0.44487,0.69243,1,0.22308,0.63554,1,1,1e-100,0.16308,0.4813,2,0.33461,0.80222,1
"lipid storage [GO:0019915]",3,0.61888,0.38066,1,0.38112,0.61944,0.97561,0.40029,0.90201,1,1,0.45707,0.77822,0.9989,2,0.37189,0.84302,1
"triglyceride biosynthetic process [GO:0019432]",4,0.7011,0.53965,1,0.2989,0.46045,0.86164,0.32635,0.85411,1,1,0.45707,0.77822,0.9989,3,0.28277,0.79462,1
"CTP biosynthetic process [GO:0006241]",11,0.75039,0.77232,1,0.24961,0.22778,0.50058,0.30035,0.92131,1,3,0.63542,0.9829,0.9989,8,0.1747,0.62134,1
"'de novo' L-methionine biosynthetic process [GO:0071266]",3,0.87183,0.77292,1,0.12817,0.22728,0.50058,0.25635,0.70013,1,0,NA,NA,NA,3,0.25635,0.75632,1
"transsulfuration [GO:0019346]",5,0.90417,0.90831,1,0.09583,0.091791,0.35405,0.19166,0.59804,1,0,NA,NA,NA,5,0.19166,0.65333,1
"cysteine biosynthetic process from serine [GO:0006535]",3,0.89373,0.79882,1,0.10627,0.20148,0.48202,0.21255,0.61814,1,0,NA,NA,NA,3,0.21255,0.67193,1
"phosphatidylinositol dephosphorylation [GO:0046856]",14,0.70498,0.66243,1,0.29502,0.33767,0.70131,0.3691,0.9889,1,2,0.22672,0.58034,0.9989,12,0.39283,0.9973,1
