"Name","Genes (tot)","Stat (dist.dir.up)","p (dist.dir.up)","p adj (dist.dir.up)","Stat (dist.dir.dn)","p (dist.dir.dn)","p adj (dist.dir.dn)","Stat (non-dir.)","p (non-dir.)","p adj (non-dir.)","Genes (up)","Stat (mix.dir.up)","p (mix.dir.up)","p adj (mix.dir.up)","Genes (down)","Stat (mix.dir.dn)","p (mix.dir.dn)","p adj (mix.dir.dn)"
"L-leucine biosynthetic process [GO:0009098]",8,1,1,1,1e-100,0.00039996,0.018298,1e-100,0.00029997,0.0068618,0,NA,NA,NA,8,1e-100,0.00069993,0.01361
"valine biosynthetic process [GO:0009099]",10,1,1,1,1e-100,0.00019998,0.018298,1e-100,9.999e-05,0.0045745,0,NA,NA,NA,10,1e-100,0.00019998,0.0058328
"GMP salvage [GO:0032263]",3,0.41716,0.12539,0.49267,0.58284,0.87471,1,0.17082,0.61884,0.9999,2,0.25386,0.59194,0.9993,1,0.0047307,0.65103,0.97377
"hypoxanthine metabolic process [GO:0046100]",3,0.41716,0.12539,0.49267,0.58284,0.87471,1,0.17082,0.61884,0.9999,2,0.25386,0.59194,0.9993,1,0.0047307,0.65103,0.97377
"IMP salvage [GO:0032264]",4,0.54313,0.21628,0.65965,0.45687,0.78382,1,0.1676,0.57904,0.9999,2,0.25386,0.59194,0.9993,2,0.08135,0.62894,0.97377
"XMP salvage [GO:0032265]",3,0.41716,0.12539,0.49267,0.58284,0.87471,1,0.17082,0.61884,0.9999,2,0.25386,0.59194,0.9993,1,0.0047307,0.65103,0.97377
"aspartate transmembrane transport [GO:0015810]",5,0.6,0.25187,0.67784,0.4,0.75292,1,4.5025e-40,0.013399,0.079095,2,1.1256e-39,0.10499,0.4912,3,1e-100,0.047895,0.17462
"L-glutamate transmembrane transport [GO:0015813]",5,0.6,0.25187,0.67784,0.4,0.75292,1,4.5025e-40,0.013399,0.079095,2,1.1256e-39,0.10499,0.4912,3,1e-100,0.047895,0.17462
"malate-aspartate shuttle [GO:0043490]",5,0.6,0.25187,0.67784,0.4,0.75292,1,4.5025e-40,0.013399,0.079095,2,1.1256e-39,0.10499,0.4912,3,1e-100,0.047895,0.17462
"amino acid transmembrane transport [GO:0003333]",8,0.6966,0.42666,0.90222,0.3034,0.57344,1,0.17462,0.61994,0.9999,3,0.42375,0.84132,0.9993,5,0.025137,0.24668,0.60709
