"Name","Genes (tot)","Stat (dist.dir.up)","p (dist.dir.up)","p adj (dist.dir.up)","Stat (dist.dir.dn)","p (dist.dir.dn)","p adj (dist.dir.dn)","Stat (non-dir.)","p (non-dir.)","p adj (non-dir.)","Genes (up)","Stat (mix.dir.up)","p (mix.dir.up)","p adj (mix.dir.up)","Genes (down)","Stat (mix.dir.dn)","p (mix.dir.dn)","p adj (mix.dir.dn)"
"arginine biosynthetic process [GO:0006526]",6,1,1,1,1e-100,0.00089991,0.020585,1e-100,0.0012999,0.019823,0,NA,NA,NA,6,1e-100,0.010299,0.11741
"arginine biosynthetic process via ornithine [GO:0042450]",3,1,1,1,1e-100,0.030397,0.16361,1e-100,0.042896,0.157,0,NA,NA,NA,3,1e-100,0.10669,0.43438
"proline catabolic process to glutamate [GO:0010133]",3,5.5281e-21,0.0041996,0.040449,1,1,1,1.1056e-20,0.10479,0.27604,3,1.1056e-20,0.041296,0.22158,0,NA,NA,NA
"fatty acid beta-oxidation using acyl-CoA oxidase [GO:0033540]",18,0.22501,0.0009999,0.028754,0.77499,0.9991,1,0.11668,0.39736,0.74369,15,0.14001,0.35746,0.82841,3,2.3165e-25,0.15218,0.55369
"lipid homeostasis [GO:0055088]",18,0.22501,0.0009999,0.028754,0.77499,0.9991,1,0.11668,0.39736,0.74369,15,0.14001,0.35746,0.82841,3,2.3165e-25,0.15218,0.55369
"phosphate ion transmembrane transport [GO:0035435]",4,0.25,0.069093,0.30105,0.75,0.93101,1,1.4209e-08,0.067493,0.19605,3,1.8946e-08,0.069193,0.32588,1,1e-100,0.47195,0.88686
"phosphatidylinositol-mediated signaling [GO:0048015]",4,0.41318,0.23768,0.63036,0.58682,0.76242,1,0.54763,0.9947,1,2,0.37399,0.83632,1,2,0.72126,0.9937,1
"ergosterol metabolic process [GO:0008204]",10,0.7887,0.93901,1,0.2113,0.061094,0.25046,0.31777,0.9751,1,2,0.73792,0.9878,1,8,0.21273,0.88251,1
"purine ribonucleoside salvage [GO:0006166]",3,0.46873,0.36786,0.84149,0.53127,0.63224,1,0.27079,0.80182,1,2,0.40618,0.85631,1,1,2.6077e-32,0.50635,0.93103
"AMP metabolic process [GO:0046033]",4,0.43058,0.25547,0.65848,0.56942,0.74463,1,0.36115,0.93331,1,3,0.48154,0.95,1,1,1e-100,0.47195,0.88686
"phosphatidylcholine biosynthetic process [GO:0006656]",5,1,1,1,6.6613e-17,0.0035996,0.050672,1.1466e-16,0.026097,0.14924,0,NA,NA,NA,5,1.1466e-16,0.062794,0.39021
