"Name","Genes (tot)","Stat (dist.dir.up)","p (dist.dir.up)","p adj (dist.dir.up)","Stat (dist.dir.dn)","p (dist.dir.dn)","p adj (dist.dir.dn)","Stat (non-dir.)","p (non-dir.)","p adj (non-dir.)","Genes (up)","Stat (mix.dir.up)","p (mix.dir.up)","p adj (mix.dir.up)","Genes (down)","Stat (mix.dir.dn)","p (mix.dir.dn)","p adj (mix.dir.dn)"
"chromatin binding [GO:0003682]",45,0.50647,0.27577,1,0.49353,0.72433,0.9699,0.89558,0.63334,0.95422,20,0.89708,0.36976,1,25,0.89439,0.73913,0.98981
"DNA replication origin binding [GO:0003688]",14,0.46461,0.0023998,0.087277,0.53539,0.9977,1,0.87375,0.13229,0.60082,9,0.84675,0.0053995,0.50326,5,0.92236,0.89091,0.99883
"single-stranded DNA binding [GO:0003697]",24,0.47841,0.0023998,0.087277,0.52159,0.9977,1,0.88936,0.39906,0.8699,15,0.87695,0.067693,0.74001,9,0.91004,0.86951,0.99883
"helicase activity [GO:0004386]",58,0.53084,0.9888,1,0.46916,0.011299,0.14935,0.88159,0.10149,0.55362,18,0.9086,0.68573,1,40,0.86944,0.060894,0.49615
"four-way junction helicase activity [GO:0009378]",14,0.5051,0.33037,1,0.4949,0.66973,0.9434,0.88975,0.41936,0.8699,6,0.88328,0.23018,1,8,0.89461,0.63634,0.96793
"single-stranded DNA helicase activity [GO:0017116]",6,0.44258,0.0025997,0.087277,0.55742,0.9975,1,0.88399,0.36046,0.8699,5,0.86149,0.077692,0.74001,1,0.99647,0.9953,0.99883
"double-stranded DNA helicase activity [GO:0036121]",14,0.5051,0.33037,1,0.4949,0.66973,0.9434,0.88975,0.41936,0.8699,6,0.88328,0.23018,1,8,0.89461,0.63634,0.96793
"3'-5' DNA helicase activity [GO:0043138]",7,0.46848,0.032997,0.42931,0.53152,0.9671,1,0.90383,0.66893,0.97221,4,0.86069,0.09679,0.78409,3,0.96135,0.9829,0.99883
"forked DNA-dependent helicase activity [GO:0061749]",14,0.5051,0.33037,1,0.4949,0.66973,0.9434,0.88975,0.41936,0.8699,6,0.88328,0.23018,1,8,0.89461,0.63634,0.96793
"single-stranded 3'-5' DNA helicase activity [GO:1990518]",14,0.5051,0.33037,1,0.4949,0.66973,0.9434,0.88975,0.41936,0.8699,6,0.88328,0.23018,1,8,0.89461,0.63634,0.96793
"double-strand break repair via break-induced replication [GO:0000727]",10,0.45358,0.0014999,0.078326,0.54642,0.9986,1,0.87989,0.25687,0.79662,8,0.86691,0.061694,0.74001,2,0.93183,0.85351,0.99883
"DNA replication [GO:0006260]",39,0.49428,0.033797,0.42931,0.50572,0.9663,1,0.89364,0.54185,0.90953,20,0.88515,0.11819,0.87514,19,0.90257,0.86401,0.99883
"pre-replicative complex assembly involved in nuclear cell cycle DNA replication [GO:0006267]",6,0.44258,0.0025997,0.087277,0.55742,0.9975,1,0.88399,0.36046,0.8699,5,0.86149,0.077692,0.74001,1,0.99647,0.9953,0.99883
"DNA unwinding involved in DNA replication [GO:0006268]",7,0.44112,0.0010999,0.07385,0.55888,0.999,1,0.88123,0.30967,0.84266,6,0.86203,0.063694,0.74001,1,0.99647,0.9953,0.99883
"DNA replication initiation [GO:0006270]",14,0.47086,0.0060994,0.16512,0.52914,0.994,1,0.89324,0.50625,0.8895,9,0.87163,0.076292,0.74001,5,0.93213,0.94551,0.99883
"premeiotic DNA replication [GO:0006279]",9,0.4653,0.012699,0.2595,0.5347,0.9874,1,0.88599,0.36936,0.8699,6,0.86244,0.065493,0.74001,3,0.93309,0.89411,0.99883
"transcription elongation by RNA polymerase II [GO:0006368]",20,0.54382,0.9905,1,0.45618,0.009599,0.13269,0.85965,0.014899,0.24794,6,0.91214,0.65943,1,14,0.83715,0.0077992,0.21135
"heterochromatin formation [GO:0031507]",11,0.49289,0.14909,0.84929,0.50711,0.85101,1,0.86481,0.082892,0.52647,5,0.83565,0.012399,0.64747,6,0.88912,0.53765,0.9449
"subtelomeric heterochromatin formation [GO:0031509]",8,0.51203,0.48865,1,0.48797,0.51145,0.84492,0.90829,0.75302,0.98769,2,0.8647,0.17788,0.93381,6,0.92282,0.92461,0.99883
"DNA duplex unwinding [GO:0032508]",19,0.51609,0.61244,1,0.48391,0.38766,0.7452,0.88312,0.25467,0.79662,8,0.89942,0.45905,1,11,0.87126,0.22438,0.73949
"chromosome, telomeric region [GO:0000781]",15,0.51314,0.52655,1,0.48686,0.47355,0.81378,0.89434,0.53345,0.90025,5,0.88092,0.22918,1,10,0.90105,0.75882,0.98981
"nuclear replication fork [GO:0043596]",8,0.45005,0.0025997,0.087277,0.54995,0.9975,1,0.89294,0.48825,0.87974,6,0.86203,0.063694,0.74001,2,0.98566,0.9936,0.99883
"nuclear pre-replicative complex [GO:0005656]",8,0.46928,0.023098,0.35019,0.53072,0.977,1,0.88829,0.41236,0.8699,5,0.86149,0.077692,0.74001,3,0.93297,0.89321,0.99883
"DNA replication preinitiation complex [GO:0031261]",9,0.44785,0.0010999,0.07385,0.55215,0.999,1,0.89082,0.45655,0.87641,7,0.86276,0.054595,0.74001,2,0.98901,0.9966,0.99883
"replication fork protection complex [GO:0031298]",10,0.48286,0.067393,0.60333,0.51714,0.93271,1,0.86872,0.11929,0.57848,6,0.86203,0.063694,0.74001,4,0.87875,0.40016,0.87748
"MCM complex [GO:0042555]",6,0.44258,0.0025997,0.087277,0.55742,0.9975,1,0.88399,0.36046,0.8699,5,0.86149,0.077692,0.74001,1,0.99647,0.9953,0.99883
"CMG complex [GO:0071162]",7,0.44112,0.0010999,0.07385,0.55888,0.999,1,0.88123,0.30967,0.84266,6,0.86203,0.063694,0.74001,1,0.99647,0.9953,0.99883
"response to oxidative stress [GO:0006979]",11,0.51899,0.64034,1,0.48101,0.35976,0.72521,0.85835,0.046795,0.41498,5,0.88597,0.28547,1,6,0.83533,0.035096,0.38754
"mitochondrial inner membrane [GO:0005743]",139,0.51771,0.86551,1,0.48229,0.13459,0.48662,0.89338,0.55724,0.91575,50,0.90105,0.46825,1,89,0.88908,0.66983,0.98375
"respiratory chain complex I [GO:0045271]",22,0.4718,0.0009999,0.07385,0.5282,0.9991,1,0.89965,0.68903,0.97221,16,0.89223,0.27277,1,6,0.91944,0.90151,0.99883
"histone binding [GO:0042393]",28,0.52958,0.93881,1,0.47042,0.061294,0.33694,0.87491,0.080292,0.51695,8,0.88464,0.22018,1,20,0.87102,0.15218,0.65713
"chromatin organization [GO:0006325]",50,0.51143,0.46525,1,0.48857,0.53485,0.85503,0.89132,0.44976,0.8699,21,0.89784,0.39156,1,29,0.88661,0.50325,0.9449
"nucleosome assembly [GO:0006334]",10,0.5063,0.37566,1,0.4937,0.62444,0.91571,0.88193,0.28957,0.81741,5,0.89453,0.39276,1,5,0.86934,0.27007,0.77388
"DNA replication-dependent chromatin assembly [GO:0006335]",5,0.51039,0.47105,1,0.48961,0.52905,0.85491,0.86711,0.18478,0.72373,2,0.85986,0.14839,0.93336,3,0.87193,0.34327,0.8442
"regulation of gene expression [GO:0010468]",10,0.50378,0.32677,1,0.49622,0.67333,0.9434,0.89749,0.58944,0.93832,4,0.88131,0.25317,1,6,0.90827,0.79992,0.98981
"silent mating-type cassette heterochromatin formation [GO:0030466]",6,0.48084,0.10559,0.76349,0.51916,0.89451,1,0.90702,0.70603,0.97403,3,0.86869,0.17978,0.93381,3,0.94534,0.94731,0.99883
"positive regulation of transcription elongation by RNA polymerase II [GO:0032968]",15,0.52425,0.77512,1,0.47575,0.22498,0.57467,0.88993,0.42636,0.8699,6,0.92303,0.80862,1,9,0.86786,0.20218,0.73795
"cellular response to stress [GO:0033554]",6,0.59241,0.9993,1,0.40759,0.00079992,0.032692,0.81517,0.0041996,0.14621,0,NA,NA,NA,6,0.81517,0.0083992,0.21135
"protein modification process [GO:0036211]",7,0.5178,0.59294,1,0.4822,0.40716,0.76089,0.89204,0.48085,0.87974,2,0.87335,0.26927,1,5,0.89951,0.66283,0.98375
"chromatin [GO:0000785]",72,0.51545,0.68043,1,0.48455,0.31967,0.69237,0.89588,0.67123,0.97221,27,0.90238,0.53365,1,45,0.89198,0.72303,0.98915
"unfolded protein binding [GO:0051082]",41,0.50941,0.39146,1,0.49059,0.60864,0.90957,0.88362,0.19598,0.73689,16,0.87501,0.043596,0.74001,25,0.88913,0.59274,0.9656
"NADPH dehydrogenase activity [GO:0003959]",6,0.53956,0.85871,1,0.46044,0.14139,0.49776,0.87661,0.26017,0.79662,1,0.8672,0.36646,1,5,0.87849,0.38526,0.87377
