"Name","Genes (tot)","Stat (dist.dir.up)","p (dist.dir.up)","p adj (dist.dir.up)","Stat (dist.dir.dn)","p (dist.dir.dn)","p adj (dist.dir.dn)","Stat (non-dir.)","p (non-dir.)","p adj (non-dir.)","Genes (up)","Stat (mix.dir.up)","p (mix.dir.up)","p adj (mix.dir.up)","Genes (down)","Stat (mix.dir.dn)","p (mix.dir.dn)","p adj (mix.dir.dn)"
"RNA polymerase II CTD heptapeptide repeat Y1 phosphatase activity [GO:0180004]",14,0.77958,0.9954,1,0.22042,0.0046995,0.066372,0.40773,0.59614,0.9995,1,0.76819,0.83042,0.9993,13,0.38,0.51795,0.98142
"RNA polymerase II CTD heptapeptide repeat T4 phosphatase activity [GO:0180005]",14,0.77958,0.9954,1,0.22042,0.0046995,0.066372,0.40773,0.59614,0.9995,1,0.76819,0.83042,0.9993,13,0.38,0.51795,0.98142
"RNA polymerase II CTD heptapeptide repeat S2 phosphatase activity [GO:0180006]",14,0.77958,0.9954,1,0.22042,0.0046995,0.066372,0.40773,0.59614,0.9995,1,0.76819,0.83042,0.9993,13,0.38,0.51795,0.98142
"RNA polymerase II CTD heptapeptide repeat S5 phosphatase activity [GO:0180007]",14,0.77958,0.9954,1,0.22042,0.0046995,0.066372,0.40773,0.59614,0.9995,1,0.76819,0.83042,0.9993,13,0.38,0.51795,0.98142
"RNA polymerase II CTD heptapeptide repeat S7 phosphatase activity [GO:0180008]",14,0.77958,0.9954,1,0.22042,0.0046995,0.066372,0.40773,0.59614,0.9995,1,0.76819,0.83042,0.9993,13,0.38,0.51795,0.98142
"MAP kinase serine/threonine phosphatase activity [GO:1990439]",14,0.77958,0.9954,1,0.22042,0.0046995,0.066372,0.40773,0.59614,0.9995,1,0.76819,0.83042,0.9993,13,0.38,0.51795,0.98142
"regulation of transcription by RNA polymerase II [GO:0006357]",116,0.56756,0.55374,1,0.43244,0.44636,0.8263,0.41643,0.82832,0.9995,48,0.45812,0.86781,0.9993,68,0.387,0.61044,0.9998
"P-type ion transporter activity [GO:0015662]",5,0.89911,0.9962,1,0.10089,0.0038996,0.066372,0.20178,0.054495,0.63324,0,NA,NA,NA,5,0.20178,0.058394,0.73238
"ATPase-coupled monoatomic cation transmembrane transporter activity [GO:0019829]",5,0.89911,0.9962,1,0.10089,0.0038996,0.066372,0.20178,0.054495,0.63324,0,NA,NA,NA,5,0.20178,0.058394,0.73238
"monoatomic cation transmembrane transport [GO:0098655]",8,0.79896,0.9843,1,0.20104,0.015798,0.13184,0.35537,0.36476,0.9995,1,0.81317,0.86081,0.9993,7,0.28997,0.19398,0.88208
"glycerophospholipid biosynthetic process [GO:0046474]",5,0.88149,0.9933,1,0.11851,0.0067993,0.080816,0.23702,0.10509,0.78926,0,NA,NA,NA,5,0.23702,0.11579,0.78857
"zinc ion binding [GO:0008270]",99,0.58217,0.71833,1,0.41783,0.28177,0.66951,0.378,0.30417,0.9995,39,0.41912,0.56714,0.9993,60,0.35128,0.21848,0.90279
"vacuole fusion, non-autophagic [GO:0042144]",9,0.45112,0.15538,0.87811,0.54888,0.84472,1,0.33543,0.26907,0.98296,5,0.31391,0.23578,0.9993,4,0.36233,0.48455,0.97332
"DNA binding [GO:0003677]",145,0.521,0.054295,0.59295,0.479,0.94581,1,0.41798,0.87561,0.9995,68,0.42424,0.64504,0.9993,77,0.41244,0.87081,0.9998
"chromatin binding [GO:0003682]",40,0.5115,0.15228,0.87811,0.4885,0.84782,1,0.42727,0.79022,0.9995,18,0.38918,0.37496,0.9993,22,0.45843,0.91711,0.9998
"DNA replication origin binding [GO:0003688]",11,0.47654,0.18978,0.87962,0.52346,0.81032,1,0.53818,0.9568,0.9995,6,0.53365,0.84292,0.9993,5,0.54361,0.91391,0.9998
"single-stranded DNA binding [GO:0003697]",22,0.39411,0.0081992,0.26882,0.60589,0.9919,1,0.47838,0.92291,0.9995,14,0.42376,0.56564,0.9993,8,0.57396,0.9764,0.9998
"helicase activity [GO:0004386]",54,0.7224,0.9999,1,0.2776,0.00019998,0.011973,0.40495,0.63614,0.9995,9,0.54925,0.92211,0.9993,45,0.37609,0.47915,0.97332
"four-way junction helicase activity [GO:0009378]",13,0.6111,0.69163,1,0.3889,0.30847,0.6992,0.56562,0.9829,0.9995,5,0.72416,0.9906,0.9993,8,0.46653,0.83132,0.9998
"single-stranded DNA helicase activity [GO:0017116]",6,0.48362,0.26597,0.9575,0.51638,0.73413,1,0.76928,0.9989,0.9995,3,0.73652,0.97,0.9993,3,0.80203,0.994,0.9998
"double-stranded DNA helicase activity [GO:0036121]",13,0.6111,0.69163,1,0.3889,0.30847,0.6992,0.56562,0.9829,0.9995,5,0.72416,0.9906,0.9993,8,0.46653,0.83132,0.9998
"3'-5' DNA helicase activity [GO:0043138]",7,0.51282,0.32647,1,0.48718,0.67363,0.98943,0.64781,0.9898,0.9995,3,0.61901,0.88461,0.9993,4,0.66941,0.9777,0.9998
