"Name","Genes (tot)","Stat (dist.dir.up)","p (dist.dir.up)","p adj (dist.dir.up)","Stat (dist.dir.dn)","p (dist.dir.dn)","p adj (dist.dir.dn)","Stat (non-dir.)","p (non-dir.)","p adj (non-dir.)","Genes (up)","Stat (mix.dir.up)","p (mix.dir.up)","p adj (mix.dir.up)","Genes (down)","Stat (mix.dir.dn)","p (mix.dir.dn)","p adj (mix.dir.dn)"
"cyclin-dependent protein serine/threonine kinase regulator activity [GO:0016538]",7,0.63035,0.64304,1,0.36965,0.35706,0.71692,0.2968,0.48045,1,3,0.48375,0.81222,1,4,0.15659,0.17338,0.78487
"alpha-1,2-mannosyltransferase activity [GO:0000026]",7,0.84397,0.9782,1,0.15603,0.021898,0.14247,0.29585,0.47665,1,1,0.94325,0.9674,1,6,0.18795,0.18998,0.81069
"mannosyltransferase activity [GO:0000030]",16,0.76177,0.9808,1,0.23823,0.019298,0.13138,0.26544,0.27577,0.93367,3,0.43725,0.73703,1,13,0.22579,0.21498,0.83109
"glycosyltransferase activity [GO:0016757]",56,0.6175,0.79982,1,0.3825,0.20028,0.50217,0.27163,0.16408,0.78455,21,0.34216,0.53995,1,35,0.22931,0.09769,0.6146
"cell wall mannoprotein biosynthetic process [GO:0000032]",9,0.8429,0.9898,1,0.1571,0.010299,0.086781,0.30158,0.49195,1,1,0.94325,0.9674,1,8,0.22137,0.26117,0.90695
"protein glycosylation [GO:0006486]",31,0.87379,1,1,0.12621,9.999e-05,0.0046723,0.18866,0.0053995,0.16669,2,0.50588,0.80002,1,29,0.16678,0.0036996,0.13211
"protein N-linked glycosylation [GO:0006487]",28,0.83108,1,1,0.16892,9.999e-05,0.0046723,0.29872,0.45955,1,2,0.72616,0.9606,1,26,0.26584,0.34417,1
"protein O-linked glycosylation [GO:0006493]",6,0.94208,0.9982,1,0.057922,0.0018998,0.02604,0.11584,0.028997,0.37261,0,NA,NA,NA,6,0.11584,0.040796,0.3709
"endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]",53,0.74521,0.9998,1,0.25479,0.00029997,0.0099474,0.24171,0.034297,0.41355,12,0.40844,0.81132,1,41,0.19291,0.0065993,0.17158
"mitotic spindle assembly checkpoint signaling [GO:0007094]",9,0.74592,0.92021,1,0.25408,0.079892,0.28616,0.35503,0.70343,1,1,0.31091,0.57024,1,8,0.36055,0.79062,1
"glucan endo-1,3-beta-D-glucosidase activity [GO:0042973]",6,0.4603,0.21728,0.87212,0.5397,0.78282,1,0.38927,0.76932,1,4,0.48241,0.83692,1,2,0.20301,0.40436,1
