Entry;subSystem
"hydroxybenzoate octaprenyltransferase";Ubiquinone and other terpenoid-quinone biosynthesis
"hydroxyethylthiazole kinase";Thiamine metabolism
"hydroxymethylbilane synthase";Porphyrin and chlorophyll metabolism
"hydroxymethylglutaryl CoA reductase";Terpenoid backbone biosynthesis
"hydroxymethylglutaryl CoA synthase";Synthesis and degradation of ketone bodies
"hydroxymethylglutaryl CoA synthase";Synthesis and degradation of ketone bodies
"hydroxymethylpyrimidine kinase (ATP)";Thiamine metabolism
"hypoxanthine phosphoribosyltransferase (Hypoxanthine)";Purine metabolism
"Imidazole-glycerol-3-phosphate synthase";Histidine metabolism
"imidazoleglycerol-phosphate dehydratase";Histidine metabolism
"IMP dehydrogenase";Purine metabolism
"indole-3-glycerol-phosphate synthase";Phenylalanine, tyrosine and tryptophan biosynthesis
"inorganic diphosphatase";Oxidative phosphorylation
"inorganic diphosphatase";Oxidative phosphorylation
"3-hydroxyacyl-CoA dehydrogenase (3-oxotetradecanoyl-CoA)";Fatty acid metabolism
"inosine monophosphate cyclohydrolase";Purine metabolism
"inositol-1,3,4,5,6-pentakisphosphate 2-kinase";Inositol phosphate metabolism
"inositol-1,3,4,5-triphosphate 6-kinase, nucleus";Inositol phosphate metabolism
"inositol-1,4,5,6- tetrakisphosphate 3-kinase, nucleus";Inositol phosphate metabolism
"inositol-1,4,5-triphosphate 6-kinase, nucleus";Inositol phosphate metabolism
"inositol-1,4,5-trisphosphate 3-kinase, nucleus";Inositol phosphate metabolism
"inositolphosphotransferase";Inositol phosphate metabolism
"inositolphosphotransferase";Inositol phosphate metabolism
"inositolphosphotransferase";Inositol phosphate metabolism
"inositolphosphotransferase";Inositol phosphate metabolism
"3-hydroxyanthranilate 3,4-dioxygenase";Tryptophan metabolism
"inositolphosphotransferase";Inositol phosphate metabolism
"inositolphosphotransferase";Inositol phosphate metabolism
"inositolphosphotransferase";Inositol phosphate metabolism
"inositolphosphotransferase";Inositol phosphate metabolism
"inositolphosphotransferase";Inositol phosphate metabolism
"inositolphosphotransferase";Inositol phosphate metabolism
"IPC synthase";Inositol phosphate metabolism
"IPC synthase";Inositol phosphate metabolism
"IPC synthase";Inositol phosphate metabolism
"IPC synthase";Inositol phosphate metabolism
"IPC synthase";Inositol phosphate metabolism
"IPC synthase";Inositol phosphate metabolism
"IPC synthase";Inositol phosphate metabolism
"IPC synthase";Inositol phosphate metabolism
"IPC synthase";Inositol phosphate metabolism
"IPC synthase";Inositol phosphate metabolism
"IPS phospholipase C";Sphingolipid metabolism
"IPS phospholipase C";Sphingolipid metabolism
"IPS phospholipase C";Sphingolipid metabolism
"IPS phospholipase C";Sphingolipid metabolism
"(1-6)-beta-glucan synthase";Starch and sucrose metabolism
"3-isopropylmalate dehydratase";Valine, leucine and isoleucine biosynthesis
"IPS phospholipase C";Sphingolipid metabolism
"IPS phospholipase C";Sphingolipid metabolism
"IPS phospholipase C";Sphingolipid metabolism
"IPS phospholipase C";Sphingolipid metabolism
"IPS phospholipase C";Sphingolipid metabolism
"IPS phospholipase C";Sphingolipid metabolism
"IPS phospholipase C";Sphingolipid metabolism
"IPS phospholipase C";Sphingolipid metabolism
"IPS phospholipase C";Sphingolipid metabolism
"IPS phospholipase C";Sphingolipid metabolism
"3-isopropylmalate dehydrogenase";Valine, leucine and isoleucine biosynthesis
"IPS phospholipase C";Sphingolipid metabolism
"IPS phospholipase C";Sphingolipid metabolism
"IPS phospholipase C";Sphingolipid metabolism
"IPS phospholipase C";Sphingolipid metabolism
"IPS phospholipase C";Sphingolipid metabolism
"IPS phospholipase C";Sphingolipid metabolism
"IPS phospholipase C";Sphingolipid metabolism
"IPS phospholipase C";Sphingolipid metabolism
"IPS phospholipase C";Sphingolipid metabolism
"IPS phospholipase C";Sphingolipid metabolism
"IPS phospholipase C";Sphingolipid metabolism
"IPS phospholipase C";Sphingolipid metabolism
"IPS phospholipase C";Sphingolipid metabolism
"IPS phospholipase C";Sphingolipid metabolism
"IPS phospholipase C";Sphingolipid metabolism
"IPS phospholipase C";Sphingolipid metabolism
"IPS phospholipase C";Sphingolipid metabolism
"IPS phospholipase C";Sphingolipid metabolism
"IPS phospholipase C";Sphingolipid metabolism
"IPS phospholipase C";Sphingolipid metabolism
"3-methyl-2-oxobutanoate hydroxymethyltransferase";Pantothenate and CoA biosynthesis
"IPS phospholipase C";Sphingolipid metabolism
"IPS phospholipase C";Sphingolipid metabolism
"IPS phospholipase C";Sphingolipid metabolism
"IPS phospholipase C";Sphingolipid metabolism
"IPS phospholipase C";Sphingolipid metabolism
"IPS phospholipase C";Sphingolipid metabolism
"IPS phospholipase C";Sphingolipid metabolism
"IPS phospholipase C";Sphingolipid metabolism
"IPS phospholipase C";Sphingolipid metabolism
"IPS phospholipase C";Sphingolipid metabolism
"IPS phospholipase C";Sphingolipid metabolism
"IPS phospholipase C";Sphingolipid metabolism
"IPS phospholipase C";Sphingolipid metabolism
"IPS phospholipase C";Sphingolipid metabolism
"IPS phospholipase C";Sphingolipid metabolism
"IPS phospholipase C";Sphingolipid metabolism
"IPS phospholipase C";Sphingolipid metabolism
"IPS phospholipase C";Sphingolipid metabolism
"IPS phospholipase C";Sphingolipid metabolism
"IPS phospholipase C";Sphingolipid metabolism
"3-phosphoshikimate 1-carboxyvinyltransferase";Phenylalanine, tyrosine and tryptophan biosynthesis
"IPS phospholipase C";Sphingolipid metabolism
"IPS phospholipase C";Sphingolipid metabolism
"IPS phospholipase C";Sphingolipid metabolism
"IPS phospholipase C";Sphingolipid metabolism
"IPS phospholipase C";Sphingolipid metabolism
"IPS phospholipase C";Sphingolipid metabolism
"isocitrate dehydrogenase (NAD+)";Citrate cycle (TCA cycle)
"isocitrate dehydrogenase (NADP)";Citrate cycle (TCA cycle)
"4-amino-4-deoxychorismate synthase";Folate biosynthesis
"isocitrate dehydrogenase (NADP+), peroxisomal";Citrate cycle (TCA cycle)
"isocitrate lyase";Glyoxylate and dicarboxylate metabolism
"isoleucine transaminase";Valine, leucine and isoleucine biosynthesis
"isoleucine transaminase";Valine, leucine and isoleucine biosynthesis
"isoleucyl-tRNA synthetase";Valine, leucine and isoleucine biosynthesis
"isoleucyl-tRNA synthetase";Valine, leucine and isoleucine biosynthesis
"isopentenyl-diphosphate D-isomerase";Terpenoid backbone biosynthesis
"itaconate-CoA ligase (ADP-forming)";C5-branched dibasic acid metabolism
"ketol-acid reductoisomerase (2-aceto-2-hydroxybutanoate)";Valine, leucine and isoleucine biosynthesis
"4-aminobenzoate synthase";Folate biosynthesis
"kynureninase";Tryptophan metabolism
"kynurenine 3-monooxygenase";Tryptophan metabolism
"L-1-pyrroline-3-hydroxy-5-carboxylate dehydrogenase";Arginine and proline metabolism
"L-4-hydroxyglutamate semialdehyde dehydrogenase";Arginine and proline metabolism
"L-alanine transaminase";Alanine, aspartate and glutamate metabolism
"L-allo-threonine aldolase";Glycine, serine and threonine metabolism
"L-allo-threonine dehydrogenase";Glycine, serine and threonine metabolism
"L-aminoadipate-semialdehyde dehydrogenase (NADPH)";Lysine biosynthesis
"L-asparaginase";
"4-aminobutyrate transaminase";Butanoate metabolism
"L-erythro-4-hydroxyglutamate:2-oxoglutarate aminotransferase";Arginine and proline metabolism
"L-erythro-4-hydroxyglutamate:2-oxoglutarate aminotransferase";Arginine and proline metabolism
"L-erythro-4-hydroxyglutamate:2-oxoglutarate aminotransferase";Arginine and proline metabolism
"L-hydroxyproline reductase (NADP)";Arginine and proline metabolism
"L-lactaldehyde:NADP+ 1-oxidoreductase";Pyruvate metabolism
"L-serine deaminase";Glycine, serine and threonine metabolism
"4-hydroxy-L-threonine synthase";Vitamin B6 metabolism
"L-serine dehydrogenase";Glycine, serine and threonine metabolism
"L-sorbitol dehydrogenase (L-sorbose-producing)";Fructose and mannose metabolism
"L-threonine deaminase";Glycine, serine and threonine metabolism
"L-threonine deaminase";Glycine, serine and threonine metabolism
"L-tryptophan:oxygen 2,3-oxidoreductase (decyclizing)";Tryptophan metabolism
"lactaldehyde dehydrogenase";Pyruvate metabolism
"lactoylglutathione lyase";Pyruvate metabolism
"lanosterol synthase";Steroid biosynthesis
"leucine transaminase";Valine, leucine and isoleucine biosynthesis
"1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase";Histidine metabolism
"4-hydroxybenzoate formation";Ubiquinone and other terpenoid-quinone biosynthesis
"leucine transaminase";Valine, leucine and isoleucine biosynthesis
"leucyl-tRNA synthetase";Valine, leucine and isoleucine biosynthesis
"leucyl-tRNA synthetase";Valine, leucine and isoleucine biosynthesis
"leukotriene A4 hydrolase";Arachidonic acid metabolism
"leukotriene A4 hydrolase";Arachidonic acid metabolism
"leukotriene A4 hydrolase";Arachidonic acid metabolism
"leukotriene A4 hydrolase";Arachidonic acid metabolism
"leukotriene A4 hydrolase";Arachidonic acid metabolism
"leukotriene A4 hydrolase";Arachidonic acid metabolism
"lysophosphatidylcholine acyltransferase";Glycerophospholipid metabolism
"lysyl-tRNA synthetase";Aminoacyl-tRNA biosynthesis
"lysyl-tRNA synthetase";Aminoacyl-tRNA biosynthesis
"malate dehydrogenase";Glyoxylate and dicarboxylate metabolism
"malate dehydrogenase, cytoplasmic";Glyoxylate and dicarboxylate metabolism
"malate dehydrogenase, peroxisomal";Glyoxylate and dicarboxylate metabolism
"malate synthase";Glyoxylate and dicarboxylate metabolism
"malate synthase";Glyoxylate and dicarboxylate metabolism
"malic enzyme (NAD)";Pyruvate metabolism
"malic enzyme (NADP)";
"malonyl-CoA-ACP transacylase";Fatty acid biosynthesis
"mannose-1-phosphate guanylyltransferase";Fructose and mannose metabolism
"mannose-6-phosphate isomerase";Fructose and mannose metabolism
"methenyltetrahydrifikate cyclohydrolase";One carbon pool by folate
"methenyltetrahydrofolate cyclohydrolase";One carbon pool by folate
"methionine adenosyltransferase";Cysteine and methionine metabolism
"methionine synthase";Cysteine and methionine metabolism, one carbon pool by folate
"methionyl-tRNA formyltransferase";One carbon pool by folate
"methionyl-tRNA synthetase";Aminoacyl-tRNA biosynthesis
"4PP-IP5 depyrophosphorylation to IP6";Inositol phosphate metabolism
"methionyl-tRNA synthetase";Aminoacyl-tRNA biosynthesis
"methylenetetrahydrofolate dehydrogenase (NAD)";One carbon pool by folate
"methylenetetrahydrofolate dehydrogenase (NADP)";One carbon pool by folate
"methylenetetrahydrofolate dehydrogenase (NADP)";One carbon pool by folate
"methylisocitrate lyase";Propanoate metabolism
"mevalonate kinase (atp)";Terpenoid backbone biosynthesis
"mevalonate kinase (ctp)";Terpenoid backbone biosynthesis
"mevalonate kinase (gtp)";Terpenoid backbone biosynthesis
"mevalonate kinase (UTP)";Terpenoid backbone biosynthesis
"mevalonate pyrophoshate decarboxylase";Terpenoid backbone biosynthesis
"4PP-IP5 pyrophosphorylation to 4,5-PP2-IP4";Inositol phosphate metabolism
"5'-methylthioadenosine phosphorylase";Cysteine and methionine metabolism
"myo-inositol 1-phosphatase";Inositol phosphate metabolism
"myo-inositol-1-phosphate synthase";Inositol phosphate metabolism
"N-acetyl-g-glutamyl-phosphate reductase";Arginine and proline metabolism
"5'-nucleotidase (CMP)";Pyrimidine metabolism
"N-acetylglucosamine-6-phosphate synthase";Amino sugar and nucleotide sugar metabolism
"N-acteylglutamate synthase";Arginine and proline metabolism
"N-formyl-L-kynurenine amidohydrolase";Tryptophan metabolism
"NAD diphosphatase";
"NAD kinase";Nicotinate and nicotinamide metabolism
"NAD kinase";Nicotinate and nicotinamide metabolism
"NAD nucleosidase nuclear";Purine metabolism
"NAD synthase";Nicotinate and nicotinamide metabolism
"NAD synthase";
"5'-nucleotidase (IMP)";Purine metabolism
"NADH dehydrogenase, cytosolic/mitochondrial";Oxidative phosphorylation
"NADH kinase";Nicotinate and nicotinamide metabolism
"NADH kinase mitochondrial";Nicotinate and nicotinamide metabolism
"NADH:ubiquinone oxidoreductase";Oxidative phosphorylation
"NAPRtase";Nicotinate and nicotinamide metabolism
"NAPRtase";Nicotinate and nicotinamide metabolism
"5'-nucleotidase (UMP)";Pyrimidine metabolism
"nicotinamidase";Nicotinate and nicotinamide metabolism
"nicotinamide N-methyltransferase";Nicotinate and nicotinamide metabolism
"nicotinamide-nucleotide adenylyltransferase";Nicotinate and nicotinamide metabolism
"nicotinamide-nucleotide adenylyltransferase";
"nicotinate-nucleotide adenylyltransferase";Nicotinate and nicotinamide metabolism
"nicotinate-nucleotide diphosphorylase (carboxylating)";Nicotinate and nicotinamide metabolism
"nicotinate-nucleotide diphosphorylase (carboxylating)";Nicotinate and nicotinamide metabolism
"nucleoside diphosphatase";Purine metabolism
"nucleoside diphosphatase";Purine metabolism
"5'-phosphoribosylformyl glycinamidine synthetase";Purine metabolism
"nucleoside diphosphatase";Pyrimidine metabolism
"nucleoside diphosphatase";
"nucleoside diphosphatase";Pyrimidine metabolism
"nucleoside diphosphatase";Purine metabolism
"nucleoside diphosphate kinase";Pyrimidine metabolism
"nucleoside diphosphate kinase";Purine metabolism
"nucleoside diphosphate kinase";Pyrimidine metabolism
"nucleoside diphosphate kinase";Purine metabolism
"nucleoside diphosphate kinase";Pyrimidine metabolism
"5,10-methylenetetrahydrofolate reductase (NADPH)";One carbon pool by folate
"nucleoside diphosphate kinase";Purine metabolism
"nucleoside diphosphate kinase";Purine metabolism
"nucleoside diphosphate kinase";Purine metabolism
"nucleoside diphosphate kinase";Pyrimidine metabolism
"nucleoside triphosphatase";Purine metabolism
"nucleoside triphosphatase";Pyrimidine metabolism
"nucleoside triphosphatase";Pyrimidine metabolism
"nucleoside triphosphatase";Purine metabolism
"5-aminolevulinate synthase";Porphyrin and chlorophyll metabolism
"nucleoside-diphosphatase (GDP), Golgi";
"nucleoside-diphosphate kinase (ATP:UDP)";Pyrimidine metabolism
"O-acetylhomoserine (thiol)-lyase";Cysteine and methionine metabolism
"O-acetylhomoserine (thiol)-lyase";Cysteine and methionine metabolism
"O-succinylhomoserine lyase (L-cysteine)";Cysteine and methionine metabolism
"ornithine carbamoyltransferase";Arginine and proline metabolism
"ornithine decarboxylase";Arginine and proline metabolism
"ornithine transacetylase";Arginine and proline metabolism
"ornithine transaminase";Arginine and proline metabolism
"5-diphosphoinositol-1,2,3,4,6-pentakisphosphate diphosphohydrolase";Inositol phosphate metabolism
"orotate phosphoribosyltransferase";Pyrimidine metabolism
"orotidine-5'-phosphate decarboxylase";Pyrimidine metabolism
"5-diphosphoinositol-1,2,3,4,6-pentakisphosphate synthase";Inositol phosphate metabolism
"oxoglutarate dehydrogenase (dihydrolipoamide S-succinyltransferase)";Citrate cycle (TCA cycle)
"oxoglutarate dehydrogenase (lipoamide)";Citrate cycle (TCA cycle)
"5-formethyltetrahydrofolate cyclo-ligase";One carbon pool by folate
"pantetheine-phosphate adenylyltransferase";Pantothenate and CoA biosynthesis
"pantothenate kinase";Pantothenate and CoA biosynthesis
"pantothenate synthase";Pantothenate and CoA biosynthesis
"peroxisomal acyl-CoA thioesterase";Fatty acid metabolism
"peroxisomal acyl-CoA thioesterase";Fatty acid metabolism
"peroxisomal acyl-CoA thioesterase";Fatty acid metabolism
"peroxisomal acyl-CoA thioesterase";Fatty acid metabolism
"peroxisomal acyl-CoA thioesterase";Fatty acid metabolism
"5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase";Cysteine and methionine metabolism
"peroxisomal acyl-CoA thioesterase";Fatty acid metabolism
"phenylalanine transaminase";Phenylalanine, tyrosine and tryptophan biosynthesis
"phenylalanyl-tRNA synthetase";Aminoacyl-tRNA biosynthesis
"phenylalanyl-tRNA synthetase";Aminoacyl-tRNA biosynthesis
"phenylpyruvate decarboxylase";Phenylalanine metabolism
"phopshoribosylaminoimidazole synthetase";Purine metabolism
"phosphatidylethanolamine methyltransferase";Glycerophospholipid metabolism
"5-methylthio-5-deoxy-D-ribulose 1-phosphate dehydratase";Cysteine and methionine metabolism
"phosphatidylglycerolphosphate synthase";Glycerophospholipid metabolism
"phosphatidylinositol 4-kinase";Inositol phosphate metabolism
"phosphatidylinositol 4-kinase";Inositol phosphate metabolism
"5-methylthioribose-1-phosphate isomerase";Cysteine and methionine metabolism
"phosphatidylinositol synthase";Glycerophospholipid metabolism
"phosphatidylinositol-4-phosphate 5-kinase";Inositol phosphate metabolism
"phosphatidylserine decarboxylase";Glycerophospholipid metabolism
"phosphatidylserine decarboxylase";Glycerophospholipid metabolism
"phosphatidylserine decarboxylase";Glycerophospholipid metabolism
"5PP-IP5 pyrophosphorylation to 4,5-PP2-IP4";Inositol phosphate metabolism
"PS synthase";Glycerophospholipid metabolism
"phosphoacetylglucosamine mutase";Amino sugar and nucleotide sugar metabolism
"phosphoadenylyl-sulfate reductase (thioredoxin)";Sulfur metabolism
"phosphoenolpyruvate carboxykinase";Glycolysis/Gluconeogenesis
"phosphoethanolamine cytidyltransferase";Glycerophospholipid metabolism
"phosphofructokinase";Glycolysis/Gluconeogenesis
"phosphofructokinase (s7p)";Pentose phosphate pathway
"phosphoglucomutase";Glycolysis/Gluconeogenesis
"phosphogluconate dehydrogenase";Pentose phosphate pathway
"5PP-IP5 pyrophosphorylation to 5,6-PP2-IP4";Inositol phosphate metabolism
"phosphoglucosamine mutase";Amino sugar and nucleotide sugar metabolism
"phosphoglycerate dehydrogenase";Glycine, serine and threonine metabolism
"phosphoglycerate kinase";Glycolysis/Gluconeogenesis
"phosphoglycerate mutase";Glycolysis/Gluconeogenesis
"phospholipase D";Glycerophospholipid metabolism
"1-acyl-sn-gylcerol-3-phosphate acyltransferase";
"6-phosphofructo-2-kinase";Fructose and mannose metabolism
"phospholipid methyltransferase";Glycerophospholipid metabolism
"phospholipid methyltransferase";Glycerophospholipid metabolism
"phosphomannomutase";Fructose and mannose metabolism
"phosphomethylpyrimidine kinase";Thiamine metabolism
"phosphomevalonate kinase";Terpenoid backbone biosynthesis
"phosphopantothenate-cysteine ligase";Pantothenate and CoA biosynthesis
"phosphopantothenoylcysteine decarboxylase";Pantothenate and CoA biosynthesis
"phosphopentomutase";Purine metabolism
"phosphoribosyl amino imidazolesuccinocarbozamide synthetase";Purine metabolism
"phosphoribosyl-AMP cyclohydrolase";Histidine metabolism
"6-phosphogluconolactonase";Pentose phosphate pathway
"phosphoribosyl-ATP pyrophosphatase";Histidine metabolism
"phosphoribosylaminoimidazole-carboxylase";Purine metabolism
"phosphoribosylaminoimidazolecarboxamide formyltransferase";Purine metabolism
"phosphoribosylanthranilate isomerase";Phenylalanine, tyrosine and tryptophan biosynthesis
"phosphoribosylglycinamidine synthetase";Purine metabolism
"phosphoribosylpyrophosphate amidotransferase";Purine metabolism
"phosphoribosylpyrophosphate synthetase";Purine metabolism
"phosphoserine phosphatase (L-serine)";Glycine, serine and threonine metabolism
"phosphoserine transaminase";Glycine, serine and threonine metabolism
"phytoceramidase";Sphingolipid metabolism
"6PP-IP5 depyrophosphorylation to IP6";Inositol phosphate metabolism
"phytoceramidase";Sphingolipid metabolism
"Phytosphingosine phosphate lyase";Sphingolipid metabolism
"phytosphingosine synthesis";Sphingolipid metabolism
"phosphatidylinositol 3-kinase";Inositol phosphate metabolism
"polyamine oxidase";
"6PP-IP5 pyrophosphorylation to 5,6-PP2-IP4";Inositol phosphate metabolism
"porphobilinogen synthase";Porphyrin and chlorophyll metabolism
"poylamine oxidase";
"poylamine oxidase";
"prephenate dehydratase";Phenylalanine, tyrosine and tryptophan biosynthesis
"prephenate dehydrogenase (NADP)";Phenylalanine, tyrosine and tryptophan biosynthesis
"8-amino-7-oxononanoate synthase";Biotin metabolism
"proline oxidase (NAD)";Arginine and proline metabolism
"prolyl-tRNA synthetase";Aminoacyl-tRNA biosynthesis
"protoporphyrinogen oxidase";Porphyrin and chlorophyll metabolism
"purine-nucleoside phosphorylase";Nicotinate and nicotinamide metabolism
"purine-nucleoside phosphorylase (adenosine)";Purine metabolism
"purine-nucleoside phosphorylase (adenosine)";Purine metabolism
"purine-nucleoside phosphorylase (deoxyadenosine)";Purine metabolism
"purine-nucleoside phosphorylase (deoxyguanosine)";Purine metabolism
"purine-nucleoside phosphorylase (deoxyinosine)";Purine metabolism
"guanosine phosphorylase";Purine metabolism
"acetaldehyde condensation";Glycolysis/Gluconeogenesis
"guanosine phosphorylase";Purine metabolism
"inosine phosphorylase";Purine metabolism
"purine-nucleoside phosphorylase (xanthosine)";Purine metabolism
"pyridoxal oxidase";Vitamin B6 metabolism
"pyridoxamine 5'-phosphate oxidase";Vitamin B6 metabolism
"pyridoxine 5'-phosphate oxidase";Vitamin B6 metabolism
"pyridoxine oxidase";Vitamin B6 metabolism
"pyrroline-5-carboxylate reductase";Arginine and proline metabolism
"pyruvate carboxylase";Citrate cycle (TCA cycle)
"pyruvate decarboxylase";Pyruvate metabolism
"acetohydroxy acid isomeroreductase";Pantothenate and CoA biosynthesis
"pyruvate decarboxylase (acetoin-forming)";Glycolysis/Gluconeogenesis
"pyruvate dehydrogenase";Citrate cycle (TCA cycle)
"pyruvate kinase";Glycolysis/Gluconeogenesis
"quinone oxidoreductase";Ubiquinone and other terpenoid-quinone biosynthesis
"reduced glutathione via ABC system";
"riboflavin kinase";Riboflavin metabolism
"riboflavin kinase";Riboflavin metabolism
"riboflavin synthase";Riboflavin metabolism
"riboflavin synthase";Riboflavin metabolism
"ribokinase";Pentose phosphate pathway
"acetolactate synthase";Valine, leucine and isoleucine biosynthesis
"ribonucleoside-triphosphate reductase (ATP)";Purine metabolism
"ribonucleoside-triphosphate reductase (CTP)";Pyrimidine metabolism
"ribonucleoside-triphosphate reductase (GTP)";Purine metabolism
"ribonucleoside-triphosphate reductase (UTP)";Pyrimidine metabolism
"ribonucleotide reductase";Purine metabolism
"ribonucleotide reductase";
"ribonucleotide reductase";Pyrimidine metabolism
"ribonucleotide reductase";
"ribonucleotide reductase";Purine metabolism
"ribonucleotide reductase";
"ribose-5-phosphate isomerase";Pentose phosphate pathway
"ribosylnicotinamide kinase";Nicotinate and nicotinamide metabolism
"ribulose 5-phosphate 3-epimerase";Pentose phosphate pathway
"S-adenosyl-L-methionine:3-hexaprenyl-4,5-dihydroxylate O-methyltransferase";Ubiquinone and other terpenoid-quinone biosynthesis
"S-adenosyl-methionine delta-24-sterol-c-methyltransferase";Steroid biosynthesis
"S-formylglutathione hydralase";Methane metabolism
"saccharopine dehydrogenase (NAD, L-lysine forming)";Lysine biosynthesis
"saccharopine dehydrogenase (NADP, L-glutamate forming)";Lysine biosynthesis
"acetyl-CoA ACP transacylase";Fatty acid biosynthesis
"sedoheptulose 1,7-bisphosphate D-glyceraldehyde-3-phosphate-lyase";Carbon metabolism
"serine O-acetyltransferase";Cysteine and methionine metabolism
"serine palmitotransferase";Sphingolipid metabolism
"seryl-tRNA synthetase";Aminoacyl-tRNA biosynthesis
"shikimate dehydrogenase";Phenylalanine, tyrosine and tryptophan biosynthesis
"shikimate kinase";Phenylalanine, tyrosine and tryptophan biosynthesis
"sirohydrochlorin dehydrogenase";Porphyrin and chlorophyll metabolism
"sirohydrochlorin ferrochetalase";Porphyrin and chlorophyll metabolism
"1-acyl-sn-gylcerol-3-phosphate acyltransferase";
"EXC OUT m1824";
"EXC OUT m1826";
"EXC OUT m1803";
"triglyceride_ActiveX VT_ERROR: exchange (OUT)";
"glycerol-3-phosphate dehydrogenase (FAD)";
"cellobiose glucohydrolase";Starch and sucrose metabolism
"L-Glutamate 5-semialdehyde:NAD+ oxidoreductase";Arginine and proline metabolism
"5-oxo-L-proline amidohydrolase (ATP-hydrolysing)";Glutathione metabolism
"succinyl-CoA:acetoacetate CoA-transferase";Synthesis and degradation of ketone bodies
"GTP diphosphohydrolase (diphosphate-forming);";Purine metabolism
"GTP diphosphate-lyase (cyclizing; 3',5'-cyclic-GMP-forming)";Purine metabolism
"L-aspartate 1-carboxy-lyase (beta-alanine-forming)";beta-Alanine metabolism
"glutathione gamma-glutamylaminopeptidase";Glutathione metabolism
"3'-Phospho-5'-adenylyl sulfate 3'-phosphohydrolase";Sulfur metabolism
"L-Serine:pyruvate aminotransferase";Glycine, serine and threonine metabolism
"L-Serine:glyoxylate aminotransferase";Glycine, serine and threonine metabolism
"serine racemase";Glycine, serine and threonine metabolism
"L-Serine hydro-lyase";Cysteine and methionine metabolism
"Uridine triphosphate pyrophosphohydrolase";Pyrimidine metabolism
"Inosine 5'-triphosphate pyrophosphohydrolase";Purine metabolism
"2'-Deoxyguanosine 5'-triphosphate diphosphohydrolase";Purine metabolism
"ATP:D-glucosamine 6-phosphotransferase";Amino sugar and nucleotide sugar metabolism
"N-Acetyl-D-glucosamine-6-phosphate amidohydrolase";Amino sugar and nucleotide sugar metabolism
"dTDP phosphohydrolase";Pyrimidine metabolism
"dTTP nucleotidohydrolase";Pyrimidine metabolism
"dihydrofolate:NADP+ oxidoreductase";One carbon pool by folate
"dihydrofolate:NADP+ oxidoreductase";One carbon pool by folate
"2'-Deoxyinosine-5'-triphosphate pyrophosphohydrolase";Purine metabolism
"glycerol transport, mm - cy";
"glycinamide ribonucleotide transformylase";Purine metabolism
"mannitol dehydrogenase";Fructose and mannose metabolism
"ATP-citrate lyase";Citrate cycle (TCA cycle)
"extracellular tributyrin hydrolysis";Glycerolipid metabolism
"extracellular dibutyrin hydrolysis";Glycerolipid metabolism
"extracellular monobutyrate hydrolysis";Glycerolipid metabolism
"fatty-acid--CoA ligase (butyrate)";Fatty acid metabolism
"O-succinylhomoserine lyase (elimination)";Cysteine and methionine metabolism
"purine-nucleoside phosphorylase (nicotinate)";Nicotinate and nicotinamide metabolism
"nucleotidase (NMN)";Nicotinate and nicotinamide metabolism
"nucleotidase (nicotinate D-ribonucleotide)";Nicotinate and nicotinamide metabolism
"nicotinate riboside kinase";Nicotinate and nicotinamide metabolism
"phosphoribosylglycinamide formyltransferase 1";One carbon pool by folate
"ATP:pantothenate 4'-phosphotransferase";Pantothenate and CoA biosynthesis
"ATP:pantothenate 4'-phosphotransferase";Pantothenate and CoA biosynthesis
"UDP-glucose:NAD+ 6-oxidoreductase";Pentose and glucuronate interconversions
"ATP:D-Gluconate 6-phosphotransferase";Pentose phosphate pathway
"ADP-ribose ribophosphohydrolase";Purine metabolism
"ribonucleotide reductase";Pyrimidine metabolism
"ribonucleotide reductase";Pyrimidine metabolism
"ATP:cytidine 5'-phosphotransferase";Pyrimidine metabolism
"UTP:cytidine 5'-phosphotransferase";Pyrimidine metabolism
"ITP:cytidine 5'-phosphotransferase";Pyrimidine metabolism
"UTP:uridine 5'-phosphotransferase";Pyrimidine metabolism
"ITP:uridine 5'-phosphotransferase";Pyrimidine metabolism
"dATP:cytidine 5'-phosphotransferase";Pyrimidine metabolism
"dATP:uridine 5'-phosphotransferase";Pyrimidine metabolism
"dGTP:uridine 5'-phosphotransferase";Pyrimidine metabolism
"dGTP:cytidine 5'-phosphotransferase";Pyrimidine metabolism
"dTTP:cytidine 5'-phosphotransferase";Pyrimidine metabolism
"dTTP:uridine 5'-phosphotransferase";Pyrimidine metabolism
"dCTP:uridine 5'-phosphotransferase";Pyrimidine metabolism
"dUTP:uridine 5'-phosphotransferase";Pyrimidine metabolism
"dCTP:cytidine 5'-phosphotransferase";Pyrimidine metabolism
"dUTP:cytidine 5'-phosphotransferase";Pyrimidine metabolism
"biomass pseudoreaction";
"carbohydrate pseudoreaction";
"DNA pseudoreaction";
"ion pseudoreaction";
"lipid pseudoreaction";Model specific
"Non-growth associated maintenance (NGAM)";Model specific
"Acyl-CoAs pool";Model specific
"Acyl-CoAs pool";Model specific
"Acyl-CoAs pool";Model specific
"Fatty acids pool";Model specific
"Fatty acids pool";Model specific
"Fatty acids pool";Model specific
"Fatty acids pool";Model specific
"Fatty acids pool";Model specific
"protein pseudoreaction";Model specific
"RNA pseudoreaction";
