protID,geneID,absUsage,capUsage,kcat,source,rxnID,rxnNames,grRules
P34229,YALI0B15059g,0.0278024259516575,0.0932371391480953,10.0041,DLKcat,2140,"fatty-acyl-CoA synthase (n-C16:0CoA)",YALI0B15059g and YALI0B19382g
P34229,YALI0B15059g,0.257833571361512,0.864660681477346,10.0041,DLKcat,2141,"fatty-acyl-CoA synthase (n-C18:0CoA)",YALI0B15059g and YALI0B19382g
Q6CEI8,YALI0B15304g,0.267169603225775,0.955176568042781,3.1427,DLKcat,915,"phosphoribosylpyrophosphate amidotransferase",YALI0B15304g
Q6CEE3,YALI0B16324g,0.00461190460950956,0.998199999999993,5.9055,DLKcat,272_EXP_1,"chitin synthase",YALI0B16324g
Q6CE97,YALI0B17402g,0.202450999986959,0.955174500077937,NaN,===,===,"involved in multiple rxns, usage combined, individual rxns below",===
Q6CE97,YALI0B17402g,0.100982551111657,0.47644100439556,7.4826,DLKcat,151,"adenylosuccinate lyase (AICAR)",YALI0B17402g
Q6CE97,YALI0B17402g,0.101463804541462,0.478711583470267,7.0781,DLKcat,152,"adenylosuccinate lyase",YALI0B17402g
Q6CE97,YALI0B17402g,4.64433383979783e-06,2.19122121101387e-05,17.1213,DLKcat,152_REV,"adenylosuccinate lyase (reversible)",YALI0B17402g
Q6CE87,YALI0B17666g,0.533979381871221,0.955234516114686,NaN,===,===,"involved in multiple rxns, usage combined, individual rxns below",===
Q6CE87,YALI0B17666g,0.169649822666189,0.303486186480812,7.7,brenda,115,"acetylglutamate kinase",YALI0B17666g
Q6CE87,YALI0B17666g,0.364329559205037,0.651748329633874,3.5855,DLKcat,759,"N-acetyl-g-glutamyl-phosphate reductase",YALI0B17666g
Q6CE16,YALI0B19382g,0.248787864661882,0.957897820625435,NaN,===,===,"involved in multiple rxns, usage combined, individual rxns below",===
Q6CE16,YALI0B19382g,0.0242158070061083,0.0932371391480947,10.0041,DLKcat,2140,"fatty-acyl-CoA synthase (n-C16:0CoA)",YALI0B15059g and YALI0B19382g
Q6CE16,YALI0B19382g,0.224572057655774,0.86466068147734,10.0041,DLKcat,2141,"fatty-acyl-CoA synthase (n-C18:0CoA)",YALI0B15059g and YALI0B19382g
Q6CDI7,YALI0C00209g,0.206840319384041,0.955271642143521,NaN,===,===,"involved in multiple rxns, usage combined, individual rxns below",===
Q6CDI7,YALI0C00209g,0.0161158303583013,0.0744293751659569,2.0469,DLKcat,495,"glycerol-3-phosphate/dihydroxyacetone phosphate acyltransferase",YALI0C00209g
Q6CDI7,YALI0C00209g,0.190724489025736,0.880842266977564,2.0469,DLKcat,496,"glycerol-3-phosphate/dihydroxyacetone phosphate acyltransferase",YALI0C00209g
Q6CCW6,YALI0C05951g,0.455785180363982,0.956085118892095,NaN,===,===,"involved in multiple rxns, usage combined, individual rxns below",===
Q6CCW6,YALI0C05951g,0.00082388003393935,0.00172822521252815,2.0723,DLKcat,2182,"palmitoyl-CoA desaturase (n-C16:0CoA - n-C16:1CoA), ER membrane",YALI0C05951g
Q6CCW6,YALI0C05951g,0.291519743043645,0.611511080647017,2.0959,DLKcat,2183,"stearoyl-CoA desaturase (n-C18:0CoA - n-C18:1CoA), ER membrane",YALI0C05951g
Q6CCW6,YALI0C05951g,0.163441557286401,0.34284581303255,2.1403,DLKcat,yli0009,"oleoyl-CoA desaturase (n-C18:1CoA - n-C18:2CoA), ER membrane",YALI0C05951g
P41555,YALI0C16885g,1.77128732282412,0.99371718876863,11.6464,DLKcat,662_EXP_1,"isocitrate lyase",YALI0C16885g
Q6CB38,YALI0C22165g,0.209407009217939,0.953945280965114,NaN,===,===,"involved in multiple rxns, usage combined, individual rxns below",===
Q6CB38,YALI0C22165g,0.124677333756491,0.567962622762712,0.7589,DLKcat,234,"C-3 sterol dehydrogenase",YALI0C22165g
Q6CB38,YALI0C22165g,0.0847296754614501,0.385982658202402,1.1167,DLKcat,235,"C-3 sterol dehydrogenase (4-methylzymosterol)",YALI0C22165g
Q6CAY4,YALI0C23364g,0.0212203899448365,0.999399999999997,13.8,brenda,362_EXP_1,"dolichyl-phosphate-mannose--protein mannosyltransferase",YALI0C23364g
Q6CAY2,YALI0C23408g,0.271611037353311,0.960043148166102,NaN,===,===,"involved in multiple rxns, usage combined, individual rxns below",===
Q6CAY2,YALI0C23408g,0.21822988466071,0.771360794226725,11.5,custom,352,"dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate)",YALI0C23408g
Q6CAY2,YALI0C23408g,0.0533811526925992,0.188682353939377,11.5,custom,353,"dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylpentanoate)",YALI0C23408g
Q6CAV2,YALI0C24101g,0.622968935996599,0.974406690529708,60,brenda,958,"pyruvate carboxylase",YALI0C24101g
Q6CAU0,YALI0C24354g,0.0243925789552493,0.998000000000014,25.0103,DLKcat,272_EXP_4,"chitin synthase",YALI0C24354g
Q6CAG1,YALI0D03069g,0.0234041379794556,0.98700000000001,0.1392,DLKcat,499,"glycinamide ribotide transformylase",YALI0D03069g
Q6CAF8,YALI0D03135g,2.2997230229395,0.960043148166115,NaN,===,===,"involved in multiple rxns, usage combined, individual rxns below",===
Q6CAF8,YALI0D03135g,0.451976720218958,0.188682353939379,0.98,brenda,669,"ketol-acid reductoisomerase (2-aceto-2-hydroxybutanoate)",YALI0D03135g
Q6CAF8,YALI0D03135g,1.84774630272051,0.771360794226735,0.98,brenda,96,"acetohydroxy acid isomeroreductase",YALI0D03135g
