UniProt_Entry	PARe.1	PARe.2	PARe.3	PARn.1	PARn.2	PARn.3	CARe.1	CARe.2	CARe.3	CARn.1	CARn.2	CARn.3	OBEe.1	OBEe.2	OBEe.3	OBEn.1	OBEn.2	OBEn.3
Q6C0A8	0.007970153	0.008909026	0.01072019	0.005470933	0.006332259	0.003874825	0.00898748	0.0085025	0.009494317	0.007316828	0.00374761	0.004118086	0.009548558	0.010327559	0.010174805	0.004394562	0.007832879	0.005581747
Q6C0A7	0.001381434	0.001439039	0.001536534	0.00077588	0.000999814	0.000652414	0.000953337	0.001761559	0.001489484	0.000827228	0.000651392	0.000630818	0.001091672	0.000833317	0.000803644	NA	0.000674462	0.000426782
Q6C0A5	0.012135291	0.013236746	0.013677353	0.007415569	0.006887326	0.005738602	0.01245501	0.014246617	0.013669513	0.006524174	0.005796388	0.006608624	0.012363149	0.013630374	0.015121961	0.008533151	0.005706354	0.00597295
Q6C0A4	0.005199295	0.006853561	0.006059414	0.000334874	0.001524657	0.000882452	0.003674977	0.004011065	0.004175196	0.004955594	0.000527376	0.00107289	0.003829347	0.003995651	0.004113193	0.00329247	0.002874371	NA
Q6C0A2	0.001905319	0.002260315	0.002257175	NA	0.000615531	0.000924945	0.00174171	0.001836771	0.001725247	0.000360862	0.000743428	0.00091664	0.001394895	0.001327669	0.001480951	NA	0.000544455	0.001246479
Q6C098	0.015249073	0.011469647	0.015222984	0.024568819	0.024545495	0.026006122	0.014557235	0.015655011	0.011718857	0.022525401	0.023000639	0.016419461	0.069924583	0.065121078	0.062746403	0.032871208	0.031576313	0.036671095
Q6C096	0.00272373	0.002810801	0.003411322	0.000280821	0.001554615	0.001516172	0.002157359	0.00264846	0.002767649	0.000878563	0.001269714	0.001388208	0.00247199	0.002389021	0.002840826	0.000504623	0.000993296	0.00120116
A0A371BZC9	0.004432009	0.00382217	0.006112398	0.003041174	NA	0.003551255	0.003417299	0.005908653	0.003440715	0.002428042	0.002554471	0.002522698	0.002793342	NA	0.003355773	NA	NA	0.004547356
Q6C095	0.010347868	0.011112319	0.010720427	0.005967104	0.006240625	0.005025971	0.012087385	0.011469387	0.012371934	0.005669056	0.005699878	0.005551847	0.006576573	0.007267589	0.00493383	0.007985223	0.004674871	0.007332549
Q6C092	0.013175313	0.013534037	0.015451163	0.004227839	0.003089426	0.002932907	0.012699496	0.013854536	0.014286493	0.005520397	0.002818433	0.004158484	0.012572971	0.012602095	0.012415699	0.008130479	0.004043068	0.002175266
